videoId,title,start,end,rating,article,
9azTLxsri9c,ワイルドじゃから,2274,2320,5,【ブレワイ】Switch２版を完全初見プレイで旅をする！1日目【ゼルダの伝説　ブレス オブ ザ ワイルド Nintendo Switch 2 Edition】,4392
4pRvixIe30I,本当の敵は…,2336,2396,5,【ドラゴンクエストIII】人生初の完全初見実況！はじめましてドラゴンクエスト#1【そして伝説へ… / HD-2D版】,
VGka0OkSEpU,5ビートwww,1611,1740,5,【ポケマス】ビートのためにため込んだダイヤ！ガチャ回して育成する１時間！【限界化注意】,
VGka0OkSEpU,人生のユニラン,732,840,5,【ポケマス】ビートのためにため込んだダイヤ！ガチャ回して育成する１時間！【限界化注意】,
9azTLxsri9c,ツーノくん,7080,7200,5,【ブレワイ】Switch２版を完全初見プレイで旅をする！1日目【ゼルダの伝説　ブレス オブ ザ ワイルド Nintendo Switch 2 Edition】,
1g0Cb_qMufQ,アカメ,4341,4392,5,【水族館プロジェクト ～フィッシュハンターへの道～】アカメを狙いつつ魚コンプリートも目指してみますか！【クソゲーではない】,
